iter	Passed	Remaining
528	650	579
529	651	577
530	652	576
531	653	574
532	654	573
533	655	572
534	656	570
535	657	568
536	658	567
537	659	566
538	660	564
539	661	563
540	662	562
541	663	560
542	664	559
543	665	557
544	666	556
545	667	554
546	668	553
547	669	552
548	670	550
549	671	549
550	672	547
551	672	546
552	673	544
553	675	543
554	676	542
555	677	540
556	677	539
557	679	538
558	680	536
559	681	535
560	682	533
561	682	532
562	683	530
563	684	529
564	685	527
565	686	526
566	687	524
567	688	523
568	689	522
569	690	520
570	691	519
571	692	517
572	693	516
573	695	516
574	696	514
575	698	513
576	699	512
577	700	511
578	701	509
579	702	508
580	703	507
581	704	505
582	705	504
583	706	502
584	707	501
585	708	500
586	708	498
587	710	497
588	711	496
589	712	494
590	713	493
591	714	492
592	715	491
593	716	489
594	717	488
595	718	487
596	719	485
597	720	484
598	722	483
599	723	482
600	724	480
601	725	479
602	726	478
603	727	476
604	728	475
605	729	474
606	730	473
607	732	471
608	733	470
609	734	469
610	735	468
611	736	467
612	738	466
613	739	464
614	741	464
615	743	463
616	745	462
617	746	461
618	747	460
619	748	459
620	750	457
621	751	456
622	753	455
623	754	454
624	755	453
625	757	452
626	758	451
627	759	450
628	761	448
629	762	447
630	763	446
631	765	445
632	766	444
633	768	443
634	770	442
635	771	441
636	772	440
637	774	439
638	775	438
639	777	437
640	778	435
641	779	434
642	781	433
643	783	432
644	785	432
645	786	431
646	788	430
647	789	429
648	791	428
649	792	426
650	794	425
651	795	424
652	797	423
653	798	422
654	800	421
655	801	420
656	803	419
657	804	418
658	805	416
659	806	415
660	808	414
661	809	413
662	811	412
663	812	411
664	814	410
665	816	409
666	817	408
667	818	407
668	820	405
669	821	404
670	823	403
671	824	402
672	825	401
673	827	400
674	829	399
675	831	398
676	832	397
677	834	396
678	836	395
679	837	394
680	839	393
681	842	392
682	843	391
683	845	390
684	847	389
685	848	388
686	850	387
687	852	386
688	854	385
689	857	385
690	859	384
691	861	383
692	862	382
693	864	381
694	866	380
695	869	379
696	872	379
697	874	378
698	877	377
699	879	376
700	880	375
701	883	374
702	885	374
703	887	373
704	889	372
705	890	370
706	893	370
707	894	369
708	896	368
709	899	367
710	901	366
711	903	365
712	905	364
713	907	363
714	908	362
715	910	361
716	911	359
717	913	358
718	915	357
719	917	356
720	919	355
721	921	354
722	923	353
723	925	352
724	926	351
725	928	350
726	930	349
727	932	348
728	933	347
729	935	346
730	937	345
731	939	343
732	940	342
733	942	341
734	943	340
735	945	339
736	947	337
737	948	336
738	950	335
739	952	334
740	953	333
741	955	332
742	956	330
743	957	329
744	959	328
745	962	327
746	963	326
747	965	325
748	967	324
749	969	323
750	970	321
751	972	320
752	974	319
753	976	318
754	978	317
755	980	316
756	981	315
757	983	314
758	985	312
759	986	311
760	988	310
761	989	309
762	991	307
763	993	306
764	994	305
765	996	304
766	997	303
767	999	301
768	1000	300
769	1002	299
770	1003	298
771	1004	296
772	1006	295
773	1008	294
774	1010	293
775	1011	291
776	1012	290
777	1014	289
778	1015	288
779	1017	286
780	1018	285
781	1020	284
782	1022	283
783	1023	282
784	1024	280
785	1026	279
786	1027	278
787	1028	276
788	1029	275
789	1030	274
790	1032	272
791	1033	271
792	1034	270
793	1036	268
794	1037	267
795	1038	266
796	1039	264
797	1040	263
798	1041	262
799	1042	260
800	1043	259
801	1044	257
802	1046	256
803	1047	255
804	1048	253
805	1049	252
806	1050	251
807	1051	249
808	1052	248
809	1053	247
810	1055	245
811	1056	244
812	1057	243
813	1058	241
814	1059	240
815	1060	239
816	1061	237
817	1062	236
818	1063	235
819	1064	233
820	1066	232
821	1067	231
822	1069	229
823	1070	228
824	1071	227
825	1072	225
826	1073	224
827	1074	223
828	1075	221
829	1076	220
830	1077	219
831	1079	217
832	1080	216
833	1081	215
834	1082	213
835	1083	212
836	1084	211
837	1085	209
838	1086	208
839	1087	207
840	1088	205
841	1089	204
842	1090	203
843	1091	201
844	1093	200
845	1094	199
846	1095	197
847	1096	196
848	1098	195
849	1099	194
850	1101	192
851	1102	191
852	1103	190
853	1104	188
854	1106	187
855	1107	186
856	1108	185
857	1110	183
858	1111	182
859	1112	181
860	1113	179
861	1114	178
862	1115	177
863	1116	175
864	1117	174
865	1118	173
866	1119	171
867	1120	170
868	1121	169
869	1122	167
870	1123	166
871	1124	165
872	1125	163
873	1126	162
874	1127	161
875	1128	159
876	1129	158
877	1130	157
878	1131	155
879	1132	154
880	1133	153
881	1134	151
882	1135	150
883	1137	149
884	1138	147
885	1139	146
886	1140	145
887	1141	143
888	1142	142
889	1143	141
890	1144	140
891	1145	138
892	1146	137
893	1148	136
894	1149	134
895	1150	133
896	1152	132
897	1153	131
898	1154	129
899	1156	128
900	1157	127
901	1158	125
902	1159	124
903	1161	123
904	1162	122
905	1163	120
906	1164	119
907	1165	118
908	1166	116
909	1167	115
910	1169	114
911	1170	112
912	1171	111
913	1172	110
914	1173	108
915	1174	107
916	1175	106
917	1176	105
918	1177	103
919	1178	102
920	1179	101
921	1180	99
922	1181	98
923	1182	97
924	1182	95
925	1183	94
926	1184	93
927	1185	92
928	1186	90
929	1187	89
930	1188	88
931	1189	86
932	1190	85
933	1192	84
934	1193	82
935	1194	81
936	1195	80
937	1196	79
938	1197	77
939	1198	76
940	1199	75
941	1200	73
942	1201	72
943	1202	71
944	1203	70
945	1204	68
946	1206	67
947	1207	66
948	1208	64
949	1209	63
950	1210	62
951	1211	61
952	1212	59
953	1213	58
954	1214	57
955	1215	55
956	1217	54
957	1218	53
958	1219	52
959	1220	50
960	1221	49
961	1222	48
962	1223	47
963	1225	45
964	1226	44
965	1227	43
966	1228	41
967	1229	40
968	1230	39
969	1231	38
970	1233	36
971	1234	35
972	1236	34
973	1237	33
974	1238	31
975	1240	30
976	1241	29
977	1243	27
978	1244	26
979	1245	25
980	1248	24
981	1250	22
982	1251	21
983	1253	20
984	1255	19
985	1256	17
986	1258	16
987	1259	15
988	1260	14
989	1262	12
990	1264	11
991	1265	10
992	1266	8
993	1268	7
994	1269	6
995	1270	5
996	1272	3
997	1273	2
998	1275	1
999	1277	0
